VPN Name: Enova VPN,Protocol: WireGuard,Test Date & Time: 2025-10-06 12:23 PM

Server,Step,Status,Symbol,Message
Singapore - 1,open_server_list,SUCCESS,✅,Server list opened successfully
Singapore - 1,select_country_Netherlands,SUCCESS,✅,Country 'Netherlands' selected
Singapore - 1,select_country_Germany,SUCCESS,✅,Country 'Germany' selected
Singapore - 1,select_server,SUCCESS,✅,Server 'Singapore - 1' selected
Singapore - 1,connect_server,SUCCESS,✅,Server connected successfully
Singapore - 1,kill_switch_on,SUCCESS,✅,Kill switch turned on successfully
Singapore - 1,restart_app_after_kill_switch,SUCCESS,✅,Application successfully reopened
Singapore - 1,disconnect_server,SUCCESS,✅,Server disconnected successfully
Singapore - 1,kill_switch_test,SUCCESS,✅,Kill switch is functional: internet blocked
Singapore - 1,kill_switch_off,SUCCESS,✅,Kill switch turned off  successfully
Singapore - 1,restart_app_after_kill_switch_off,SUCCESS,✅,Application successfully reopened
