Country,Server
France,Brazil
Germany,Canada - 2
India,Denmark - Warrior
Singapore,"France - 4
Free"
USA,France - 5
,France - Premium
,France - Special
,"France Warrior
Free"
,France- 6
,Germany - 6
,Germany - Super
,Germany Premium - 1
,Germany Premium - 2
,"India - 2
Free"
,"India - 3
Free"
,India - 4
,India - Premium
,"Indonesia
Free"
,Italy - Premium
,Japan
,Netherlands - 1
,Poland - Premium
,"Singapore
Free"
,Singapore - 1
,Singapore - Premium
,Turkey-2
,USA - 1
,USA - 4
,USA - Premium
,USA - Super
